date;prix;rendements
23/09/2016;4,148;0,001206855
26/09/2016;4,063;-0,020491803
27/09/2016;4,034;-0,007137583
28/09/2016;4,069;0,008676252
29/09/2016;4,101;0,00786434
30/09/2016;4,149;0,011704462
03/10/2016;4,113;-0,00867679
04/10/2016;4,223;0,026744469
05/10/2016;4,34;0,027705423
06/10/2016;4,412;0,016589862
07/10/2016;4,44;0,006346328
10/10/2016;4,446;0,001351351
11/10/2016;4,415;-0,00697256
12/10/2016;4,379;-0,00815402
13/10/2016;4,255;-0,028316967
14/10/2016;4,344;0,020916569
17/10/2016;4,365;0,004834254
18/10/2016;4,392;0,006185567
19/10/2016;4,404;0,00273224
20/10/2016;4,434;0,006811989
21/10/2016;4,441;0,00157871
24/10/2016;4,593;0,034226526
25/10/2016;4,591;-0,000435445
26/10/2016;4,594;0,000653452
27/10/2016;4,692;0,021332172
28/10/2016;4,709;0,003623188
31/10/2016;4,605;-0,022085368
01/11/2016;4,537;-0,014766558
02/11/2016;4,424;-0,024906326
03/11/2016;4,503;0,017857143
04/11/2016;4,369;-0,029757939
07/11/2016;4,504;0,030899519
08/11/2016;4,622;0,026198934
09/11/2016;4,476;-0,031588057
10/11/2016;4,558;0,018319929
11/11/2016;4,675;0,025669153
14/11/2016;4,708;0,007058824
15/11/2016;4,68;-0,005947324
16/11/2016;4,602;-0,016666667
17/11/2016;4,628;0,005649718
18/11/2016;4,633;0,00108038
21/11/2016;4,617;-0,003453486
22/11/2016;4,745;0,02772363
23/11/2016;4,712;-0,006954689
24/11/2016;4,72;0,001697793
25/11/2016;4,71;-0,002118644
28/11/2016;4,64;-0,014861996
29/11/2016;4,677;0,007974138
30/11/2016;4,752;0,01603592
01/12/2016;4,886;0,028198653
02/12/2016;4,825;-0,01248465
05/12/2016;4,959;0,027772021
06/12/2016;5,093;0,027021577
07/12/2016;5,214;0,023758099
08/12/2016;5,374;0,030686613
09/12/2016;5,392;0,00334946
12/12/2016;5,494;0,018916914
13/12/2016;5,451;-0,00782672
14/12/2016;5,346;-0,019262521
15/12/2016;5,44;0,01758324
16/12/2016;5,365;-0,013786765
19/12/2016;5,299;-0,012301957
20/12/2016;5,382;0,015663333
21/12/2016;5,398;0,002972873
22/12/2016;5,42;0,004075584
23/12/2016;5,376;-0,008118081
27/12/2016;5,38;0,000744048
28/12/2016;5,379;-0,000185874
29/12/2016;5,328;-0,009481316
30/12/2016;5,36;0,006006006
02/01/2017;5,4;0,007462687
03/01/2017;5,62;0,040740741
04/01/2017;5,641;0,003736655
05/01/2017;5,595;-0,008154583
06/01/2017;5,563;-0,005719392
09/01/2017;5,448;-0,020672299
10/01/2017;5,485;0,006791483
11/01/2017;5,437;-0,008751139
12/01/2017;5,438;0,000183925
13/01/2017;5,606;0,030893711
16/01/2017;5,577;-0,005173029
17/01/2017;5,488;-0,015958401
18/01/2017;5,451;-0,006741983
19/01/2017;5,5;0,008989176
20/01/2017;5,495;-0,000909091
23/01/2017;5,355;-0,025477707
24/01/2017;5,415;0,011204482
25/01/2017;5,689;0,050600185
26/01/2017;5,65;-0,006855335
27/01/2017;5,64;-0,001769912
30/01/2017;5,564;-0,013475177
31/01/2017;5,485;-0,014198418
01/02/2017;5,579;0,017137648
02/02/2017;5,569;-0,001792436
03/02/2017;5,57;0,000179565
06/02/2017;5,509;-0,010951526
07/02/2017;5,399;-0,019967326
08/02/2017;5,228;-0,031672532
09/02/2017;5,327;0,018936496
10/02/2017;5,45;0,023089919
13/02/2017;5,479;0,005321101
14/02/2017;5,52;0,007483117
15/02/2017;5,64;0,02173913
16/02/2017;5,601;-0,006914894
